name,description,cuisine,course,diet,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,image_url
Dhaba Style Country Chicken Recipe,"Who is not fascinated by Dhaba's food, if set off on a road trip? Dhabas are the road-side eatery joints on Indian highways mostly comprise of one-shed building where you can enjoy the fresh prepared food sitting on cots. Food is very much pocket friendly and there is always a hint of local cuisine in the taste. The recipe I am sharing is what i could recall from my memory that I relished at a dhaba in Odisha. I did it in completely my way. Try it & you will love the taste of this Chicken recipe.",North Indian Recipes,Lunch,High Protein Non Vegetarian,"Chicken, Onion, Ginger, Garlic, Fresh Red Chilli, Mustard oil, Onion, Bay leaf (tej patta), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Coriander Powder (Dhania), Turmeric powder (Haldi), Cumin powder (Jeera), Kashmiri Red Chilli Powder, Salt, Water","750 grams Chicken , curry cut  2 tablespoons Onion , paste  2 tablespoons Ginger , paste  2 tablespoons Garlic , paste  1 tablespoon Fresh Red Chilli , paste Mustard oil , as required  1 Onion , chopped  4 Bay leaf (tej patta)  2 Cinnamon Stick (Dalchini)  1 inch Cardamom (Elaichi) Pods/Seeds  1-1/2 tablespoon Coriander Powder (Dhania)  1 tablespoon Turmeric powder (Haldi)  1 tablespoon Cumin powder (Jeera)  1 tablespoon Kashmiri Red Chilli Powder Salt , as required Water , as required",10.0,60.0,"To begin making the Dhaba Style Country Chicken recipe, firstly marinade the chicken with turmeric, salt, ginger paste, garlic paste, red chilli paste, 1 tablespoon onion paste and 1 tablespoon mustard oil for about 30 minutes. Rub the spices well using your fingers.Heat 3 tablespoons oil in a heavy bottomed pan. Once oil reaches it's smoking point cool down a bit. Then heat it again, add bay leaf, cinnamon and cardamom.After a minute, add chopped onion and fry till they are golden brown.Add onion paste and fry for 2 minutes. Add Chicken to it and saute at high flame for least 5 minutes. Make a paste of all masala powder adding 2 tablespoons of water.Add this paste to chicken and mix well. Adjust salt according to your taste.Add 2 cups of warm water to it & cook it covered until they are done. You can add more water if you want more gravy.Serve Dhaba Style Country Chicken with hot phulkas and jeera rice for a delicious meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sai_Priya/Dhaba_Style_CountryChicken_1600.jpg
Prawns Theeyal Recipe (Chemeen Theeyal),"Theeyal is a famous recipe of Kerala. It is prepared by roasting coconuts with fresh spices. It is aromatic, nutritious and rich. Prawns Theeyal is prepared with fresh tiger prawns and fresh local spices. These are low fat source of protein. It has calcium, potassium and phosphorous along with vitamins A & E.",Kerala Recipes,Lunch,Non Vegeterian,"Prawns, Fresh coconut, Coriander (Dhania) Seeds, Dry Red Chillies, Shallots, Garlic, Methi Seeds (Fenugreek Seeds), Cumin seeds (Jeera), Turmeric powder (Haldi), Mustard seeds (Rai/ Kadugu), Curry leaves, Tamarind, Salt","500 grams Prawns , tiger  1 cup Fresh coconut , grated  2 tablespoons Coriander (Dhania) Seeds  4 Dry Red Chillies  8 Shallots  8 cloves Garlic , split lengthwise  1 teaspoon Methi Seeds (Fenugreek Seeds)  1-1/2 teaspoon Cumin seeds (Jeera) Turmeric powder (Haldi) , a pinch (optional)  1 teaspoon Mustard seeds (Rai/ Kadugu) Curry leaves , Few  30 grams Tamarind Salt , to taste",10.0,45.0,"To begin making the Prawns Theeyal recipe, start by taking grated coconuts in a blender and blending it so it becomes fine.This will help the coconut to brown evenly and faster.In a wok/kadhai, take coconuts and start roasting on medium flame. Stir every 10 seconds to avoid burning.Once the coconuts have achieved light brown colour add coriander seeds, red chilly, some curry leaves, 2-3 shallots, cumin seeds, fenugreek, turmeric powder and roast.Once the coconut mixture is nicely roasted and achieved a deep brown colour take it off heat to cool.Once cooled blend the mixture in blender. First blend it to powder everything. Then add the tamarind pulp and little water and blend. Blend till it becomes a cohesive smooth paste.In the same wok/kadai, heat some coconut oil. Once hot, splutter some mustard seeds.Add the remaining shallots and garlic and sauté till everything turns translucent.Add curry leaves and sauté for another minute. Add the coconut paste in and give a good mix. Add 1 cup water and bring to a boil.Add salt as per taste and let it boil until the oil starts appearing on top. This will take 5-10 minutes.Now add cleaned prawns and let it cook for 3-5 minutes before switching off the flame.Serve Prawns Theeyal Recipe with hot steamed rice for a perfect weekday meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Yeleena_Thomas/Prawns_Theeyal_Chemeen_Theeyal.jpg
Mustard Prawns In Coconut Recipe,"Mustard Prawns In Coconut is a cuisine of coastal West Bengal and is quite famous during the monsoons. One interesting fact is that dish is prepared during ""jamai sosti”, the festival celebrated in West Bengal where son-in-laws are offered different varieties of food by their respective mother-in-law and prayers are offered in their name along with gift exchanges. Regarding the nutritional aspect the dish is rich in protein (due to prawns)and good cholesterol (due to coconut as well as prawns).",Bengali Recipes,Lunch,Non Vegeterian,"Prawns, Kasundi mustard sauce, Green Chillies, Mustard oil, Kalonji (Onion Nigella Seeds), Turmeric powder (Haldi), Red Chilli powder, Salt, Coriander (Dhania) Leaves, Coriander (Dhania) Leaves","10 Prawns  3/4 Kasundi mustard sauce , (while making the paste the amount of mustard used is 1/4th cup)  3 Green Chillies , (for the mustard paste one for the dish and one for garnishing)  2 teaspoons Mustard oil  1/4 teaspoon Kalonji (Onion Nigella Seeds)  1 teaspoon Turmeric powder (Haldi)  1/4 teaspoon Red Chilli powder Salt , as per taste  1 teaspoon Coriander (Dhania) Leaves , for the mustard paste Coriander (Dhania) Leaves , Few, for garnishing",8.0,30.0,"To begin making the Mustard Prawns In Coconut recipe, Wash the deveined prawns in salt water.In parallel grind the mustard with two ice cubes, salt and green chillies along with a spoon of chopped coriander in a grinder. The ice reduces the bitterness of mustard. The quantity of the paste should be half cup.Heat two spoon of oil in a flat bottomed pan and add the Kalonji once the oil is heated.Once the flavour comes add one sliced green chilli. Now add the prawns and coat them with oil on all sides and keep on sauting till it turns white.In low flame add the mustard paste, turmeric powder and red chilli powder.Saute for sometime and mix well then add the grated coconut and mix again.Add enough water just to keep the prawns covered. Now add rest of the chilli and cover the pan.Cook in low flame for 15 minutes. Garnish with coriander leaves and serve.Mustard Prawns In Coconut is best served with plain rice or with bengali pulao for a delicious meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Deboshruti/Mustard_prawns_in_coconut.jpg
Nadan Meen Kari Recipe (Kerala Style Fish Curry),"What’s the best part about coastal places? The beaches, the serene beauty, and of course delicious food. Talk about coastal food, fish curry is the first dish that comes to my mind. Any coastal place I visit I make sure I taste the Nadan Meen Curry or Kerala Style fish curry which is a Kerala delicacy. The fresh catch and the unique spices used make the curry delicious.",Kerala Recipes,Lunch,High Protein Non Vegetarian,"Sardine fish, Shallots, Tomatoes, Ginger Garlic Paste, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Fennel Powder, Black pepper powder, Kokum (Malabar Tamarind), Coconut Oil, Mustard seeds (Rai/ Kadugu), Curry leaves, Salt, Water","500 grams Sardine fish , (mathi, seer or any other fish)  1 cup Shallots , chopped  2 Tomatoes , pureed  1-1/2 teaspoon Ginger Garlic Paste  1/2 Turmeric powder (Haldi)  1 tablespoon Red Chilli powder , (add more if you like more spicy)  1 tablespoon Coriander Powder (Dhania)  1 teaspoon Fennel Powder  1-1/2 teaspoon Black pepper powder  4 Kokum (Malabar Tamarind)  4 tablespoon Coconut Oil  1 teaspoon Mustard seeds (Rai/ Kadugu)  1 sprig Curry leaves Salt , to taste Water , as required",10.0,35.0,"To prepare Nadan Meen Curry or Kerala Style Fish Curry, Clean the fish well and cut into pieces. Add salt and turmeric powder to the fish and let it sit for 15 minutes.Then wash the fish again well. Add 1 teaspoon of salt, 1 teaspoon red chili powder and 1/4 teaspoon turmeric powder. Rub it all over the fish, place them inside the fridge and leave it to marinade for 30 minutes to 1 hour.Heat coconut oil in a clay pot. When oil turns hot add mustard seeds and wait till it crackles. Then add chopped shallots and sauté till onions turn pink.Add ginger-garlic paste and cook till raw smell of the paste is gone.Add tomato puree and cook until the puree turns thick and oil separates from the sides of the pan.Mix all the spice powder with 1 tablespoon water into a thick paste. Add this paste into the pan and cook for about 3 minutes.Add 1 cup water and bring it to boil. Add salt to taste and continue to boil for another 3 minutes.Now add kodumpuli and boil for another 10 to 15 minutes until the curry turns a little thick.Now add the marinated fish, reduce flame, cover and continue to cook on low flame for about 7 to 10 minutes or until the fish is cooked well.Turn off flame. Nadan meen kari is ready to be served with steamed rice.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Nadan_Meen_Kari__Kerala_Fish_Curry.jpg
Moryechi Xacuti Recipe (Goan Style Shark Curry),"Moryechi Xacuti / Shark Curry Recipe is almost the same as chicken xacuti, only that you have to use less quantity of spices in order to get all the flavors of shark to get mixed up into the gravy. Only make sure that the shark is fresh and not frozen and try to use freshly grated coconut instead of dry one. Moryechi Xacuti/Shark Curry Recipe is one of the popular Goan fish recipe.",Goan Recipes,Dinner,Non Vegeterian,"Shark fish, Fresh coconut, Onion, Garlic, Tamarind, Kashmiri Red Chilli Powder, Turmeric powder (Haldi), Coriander (Dhania) Leaves, Oil, Salt, Ginger Garlic Paste, Turmeric powder (Haldi), Salt, Whole Black Peppercorns, Cloves (Laung), Cinnamon Stick (Dalchini), Fennel seeds (Saunf), Coriander (Dhania) Seeds, Dry Red Chillies","800 grams Shark fish , baby shark fish required (Skin removed and cut into small pieces)  1 cup Fresh coconut , grated  1 Onion , thinly sliced  8 cloves Garlic  20 grams Tamarind  1 teaspoon Kashmiri Red Chilli Powder , optional  1 teaspoon Turmeric powder (Haldi) Coriander (Dhania) Leaves , small bunch, chopped Oil , as required Salt , to taste Ingredients for marination 1 tablespoon Ginger Garlic Paste  1 teaspoon Turmeric powder (Haldi)  1 tablespoon Salt Whole spices 4 Whole Black Peppercorns  4 cloves Cloves (Laung)  1 inch Cinnamon Stick (Dalchini)  1 teaspoon Fennel seeds (Saunf)  1/2 tablespoon Coriander (Dhania) Seeds  6-7 Dry Red Chillies",10.0,60.0,"To prepare Moryechi Xacuti / Shark Curry recipe, wash shark pieces well with water, drain and marinate with the ingredients mentioned for marination. Keep aside for about 20 minutes.Heat a Skillet, add oil and fry all the spices mentioned under whole spices on medium high heat for 2-3 minutes and remove out on a plate.On the same skillet, fry sliced onions and garlic on medium high until onions turn translucent. This will take about 5 minutes.Now, add grated coconut and saute till coconut changes color to light brown. That is about 6-7 minutes. Switch off the heat.Add a teaspoon turmeric powder, mix well and remove from heat.Allow the mixture to cool down for some time.Grind the roasted spices along with fried coconut onions and tamarind using a cup of water to smooth paste.Take the paste in a saucepan kept on medium high heat and allow it to boil.Add salt and red chili powder.Mix well and add marinated fish.Mix, cover and let the fish cook on medium high heat until done.Check in between if the fish is cooked. Use toothpick to check. The toothpick should be able to poke easily in the fish, once it is ready.Sometimes shark gets cooked very quickly, but for me it took 25 minutes total to cook the fish.Once the gravy is all ready, add chopped coriander leaves, mix well and simmer on low heat for 5 more minutes and remove from heat.Enjoy Moryechi Xacuti / Shark Curry recipe with hot steamy rice.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Nadkarni/Moryechi_Xacuti__Shark_Curry.jpg
Spicy Jawla Stuffed In Brinjal Recipe,Spicy Jawla stuffed in Brinjal is an amazing seafood dish that is cooked with brinjal. Jawla are a kind of fish that come from prawn family and they are very small. These jawlas are cooked and stuffed in brinjal and can be served as a side dish. ,South Indian Recipes,Lunch,Non Vegeterian,"Jawla fish, Onion, Fresh coconut, Tamarind Water, Red Chilli powder, Coconut Oil, Ginger, Garlic, Salt, Brinjal (Baingan / Eggplant), Fresh coconut, Dry Red Chillies, Coriander (Dhania) Seeds, Methi Seeds (Fenugreek Seeds), Turmeric powder (Haldi), Lemon juice, Onion, Oil, Water","For the Jawala 250 grams Jawla fish , sieve well and manually cleaned  1 Onion , finely chopped  250 grams Fresh coconut , grated Tamarind Water , as required  1/2 teaspoon Red Chilli powder  1/2 teaspoon Coconut Oil  1/2 tablespoon Ginger , paste  1/2 tablespoon Garlic , paste Salt , as per taste (most preserved fish have salt so use discretion while using the salt) For the brinjals: 5 Brinjal (Baingan / Eggplant)  500 grams Fresh coconut , grated  4 Dry Red Chillies  2 teaspoon Coriander (Dhania) Seeds  1/4 teaspoon Methi Seeds (Fenugreek Seeds)  1/2 teaspoon Turmeric powder (Haldi) Lemon juice , as required  1 Onion , finely chopped  2 tablespoon Oil Water , as required",15.0,20.0,"To begin with the Spicy Jawla Stuffed In Brinjal Recipe first,  add coconut oil to the pan on a medium flame and stir fry the jawala till they are crisp. Wait for the aroma to exude and keep aside. In an another pan, heat oil and saute onion, red chilli powder, tamarind water, ginger- garlic paste and salt as per your taste in a bowl. Simultaneously, get the brinjals ready. Slit the brinjals in the middle and put in water so that the split expands naturally and makes room for the filling. Grind the masala for the brinjals (coconut, chillies, coriander, methi, turmeric, lemon juice) and keep aside. Add the jawala mix to this and mix well using spoon or a spatulaStuff this into the slit brinjals and keep aside.In a pan, heat oil and place the stuffed brinjals. Add a little water and allow to cook till they are soft. Garnish with coriander leaves and grated coconut.Spicy Jawala stuffed in Brinjal tastes best with wheat chapatis, rice bhakris or steamed rice.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raisa_Rele_Mhatre/Spicy_Jawla_stuffed_in_Brinjal.jpg
Khumb Kakuri Potli Kebab Recipe with Sandwich Spread,"The Khumb Kakuri Potli Kebab recipe is a delicious appetizer that is made into a pocket or a potli stuffed with mushrooms, cashew nut and flavored with Del Monte’s Sandwich Spread. If you have ready Roomali Roti's then you can use them and fold it with the Mushroom stuffing. These Khumb Kakuri Potli Kebab makes an amazing snack and is also perfect for your brunch parties.",North Indian Recipes,Appetizer,Vegetarian,"Roomali roti, Button mushrooms, Del Monte Sandwich Spread, Cashew nuts, Fresh cream, Cheese, Whole Black Peppercorns, Salt","2 Roomali roti  200 grams Button mushrooms , finely chopped  1/4 cup Del Monte Sandwich Spread  2 tablespoons Cashew nuts , finely chopped  1 tablespoon Fresh cream  2 tablespoon Cheese , grated  1/2 teaspoon Whole Black Peppercorns , coarsely pounded Salt , to taste",20.0,20.0,"To begin making the Khumb Kakuri Potli Kebab Recipe with Sandwich Spread, mix the chopped mushroom with cashews, Del Monte’s Sandwich Spread, fresh cream, salt and black pepper. Keep aside to marinate .Take the Roomali Roti and cut into two half from the center.Take the marinated mushroom and place spoonful of the mix between the piece of roti. Collect the sides of the roti together and seal them with a tooth pick such that the corners don’t open.Prepare rest of the Khumb Kakuri Potli and keep aside.Pre heat the oven at 180 degree C for 10 mins.Line a baking tray with parchment paper. Grease the outer cover of the Khumb Kakuri Potli prepared with some butter or oil and line them on the baking tray.Bake for 12-15 mins at 180 degree C till the roti becomes crisp. Take the Khumb Kakuri Potli out from the oven and serve hot with mint chutney.Serve the Khumb Kakuri Potli along with Mint Chutney for a snack or as a party appetizer.",https://www.archanaskitchen.com/images/archanaskitchen/10-Brands/Del_Monte_Mayo/Del_Monte_Mayo_Recipe_Khumb_Kakuri_Potli_Kebab_with_Sandwich_Spread-3.jpg
Mooli Makki Roti Recipe,Makki Atta and Mooli are a great combination enjoyed abundantly in winters up north. This recipe is a gluten free flatbread recipe enriched with sprouts and other salad to make this wholesome. This recipe uses typical punjabi ingredients to make a south Indian style patted roti.,Indian,Indian Breakfast,Vegetarian,"Mooli/ Mullangi (Radish), Corn flour, Green Moong Sprouts, Spring Onion (Bulb & Greens), Coriander (Dhania) Leaves, Green Chilli, Ginger, Salt, Oil, Green Chutney (Coriander & Mint), Avocado, Spinach Leaves (Palak), Red Bell pepper (Capsicum), Purple cabbage, Mooli/ Mullangi (Radish)","500 grams Mooli/ Mullangi (Radish) , grated  2 cups Corn flour Green Moong Sprouts , a handful  2 Spring Onion (Bulb & Greens) , sliced  1/4 cup Coriander (Dhania) Leaves , chopped  2 to 3 teaspoons Green Chilli , paste  1 inch Ginger , grated Salt , to taste Oil , as needed Green Chutney (Coriander & Mint) , as needed For the salad filling as neededAvocado , slices as required Spinach Leaves (Palak) , or salad leaves as required Red Bell pepper (Capsicum) , few slices Purple cabbage , as required, shredded  1/2 Mooli/ Mullangi (Radish) , thinly sliced",25.0,30.0,"To begin making the Mooli Makki Roti recipe, In a large bowl add grated radish, sprouts, spring onions, ginger, chilli paste, coriander and salt. Mix well with a spatula.To this add makki atta little by little and mix without adding any water. The moisture in the mooli should be enough to combine the dough.This mixture will look crumbly but will come together when rested. Rest the mixture for 15 to 20 minutes.Cut out a greaseproof paper according to the size of your pan. Smear some oil over this and place a fistful of dough made into a ball on the centre of the paper and pat it into a round roti by wetting/greasing your fingers as thin or as thick as you like.Heat a roti tava and pour some oil and spread it with a paper towel. Now transfer the roti onto the tava and let it cook for a minute until you peel the paper.Now peel the paper, drizzle some oil and cook until crispy by flipping both sides.Transfer it onto a plate, smear dhaniya pudina chutney and top it with salad and enjoy a wholesome breakfast with a cup of tea.Enjoy this flavourful Mooli Makki Roti with a cup of Masala Chai for a healthy wholesome breakfast.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Mooli_Makki_rotti.jpg
Rajgira Priyer Recipe (Navratri Fasting/Vrat Recipe),Rajgira Puri Recipe (Navratri Fasting/Vrat Recipe) is a unleavened Indian fried bread made with rajgira flour/amaranth flour and potato as a binding agent. It is slight different from the normal puris made from the wheat flour. This is because of the type of different flour being used which is the rajgira flour giving varied texture. The Rajgira puris are much soft and grainy in texture.,North Indian Recipes,Indian Breakfast,Vegetarian,"Rajgira Flour (Amaranth Flour), Potato (Aloo), Black pepper powder, Rock Salt, Oil","2 cups Rajgira Flour (Amaranth Flour)  1 Potato (Aloo) , boiled, mashed  1/2 teaspoon Black pepper powder Rock Salt , or salt to taste Oil , to fry",25.0,30.0,"We begin making the Rajgira Puri(Navratri Fasting/Vrat Recipe) by mixing all the ingredients into a bowl. THe rajgira flour has less gluten so it might be little difficult to work with.Knead it to a dough which is moist and not very sticky.Make small balls out of the dough and dust the rolling table with rajgira flour and flatten the puris with the rolling pin. See to that you make small thick size round out of the dough.As you have rolled all the dough now, heat a Kadai and add oil. When oil gets heated, gently add a flattened puri.Using a frying spoon or slotted spoon gently press the puri, put some hot oil on top and move in a circular way.You will notice that the puri gets puffed and rises up. At this point, turn it to the other side and fry till it turns golden brown. Do not keep the puri in oil for more than 2 Minutes else it will become brittle.Drain it on kitchen towel.Continue the deep frying process for all the other flattened puris.Serve your soft Rajgira Puri(Navratri Fasting/Vrat Recipe) with Apple Tamatar Ki Subzi or Lauki Paneer Kofta Curry.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-21/Rajgira_Puri_Recipe_Fasting_Vrat_Navratri_Food-3.jpg
Bengali Bhetki Begum Bahar Recipe (Spicy Fish Fillets Curry),Bhetki Begum Bahar is one rich and spicy fish curry that comes from Bengali Cuisine. A very popular dish is Bengali marriages and special occasions. The fish fillets have a typical shape that are marinated and later fried golden. The curry is typically cooked in mustard oil where the richness comes from the poppy seeds and the cashew paste used. The extensive use of mace and nutmeg powder gives the curry an amazing aroma and flavor and also gives a rich look. Serve Bhetki Begum Bahar Recipe with hot Steamed rice and Chapatis.,Bengali Recipes,Lunch,Non Vegeterian,"Fish fillet, Onion, Homemade tomato puree, Ginger, Green Chillies, Poppy seeds, Cashew nuts, Turmeric powder (Haldi), Coriander Powder (Dhania), Kashmiri Red Chilli Powder, Cumin powder (Jeera), Garam masala powder, Nutmeg powder, Mace (Javitri), Lemon juice, Salt, Whole Eggs, Corn flour, Ginger, Black pepper powder, Green Chilli","8 Fish fillet , Bhetki (Barramundi/Asian sea bass)  1 cup Onion , paste  1/2 cup Homemade tomato puree  1 tablespoon Ginger , paste  4 Green Chillies  2 tablespoons Poppy seeds , paste  2 tablespoons Cashew nuts , paste  1 teaspoon Turmeric powder (Haldi)  1 tablespoon Coriander Powder (Dhania)  1-1/2 tablespoons Kashmiri Red Chilli Powder  1 teaspoon Cumin powder (Jeera)  1 teaspoon Garam masala powder  1/2 teaspoon Nutmeg powder  1/2 teaspoon Mace (Javitri) For Marination 1 teaspoon Lemon juice  1 teaspoon Salt  1 Whole Eggs , peeled and beaten  3 tablespoons Corn flour  1 teaspoon Ginger , paste  1 teaspoon Black pepper powder  1 teaspoon Green Chilli",10.0,90.0,"To cook Bengali Bhetki Begum Bahar Recipe, wash and clean fish nicely, apply enough salt, and lemon juice all over and marinate for 1 hour.In a large mixing bowl, add beaten egg, cornflour, green chili paste, ginger paste, pepper powder, and salt. Mix well and keep aside.Heat a little oil in a Shallow fry pan and meanwhile, take the marinated fish fillets and dip in the egg mix one by one and shallow fry on a medium flame on both sides till deep golden in color. Close the lid for a minute to help the fish fillet get cooked. Then continue shallow frying without lid till deep golden.Transfer the fried fillets on a paper towel and keep aside.Add a little oil in a Kadai, add mace and just after few seconds, add onion paste and sauté for few minutes till rawness disappears.Now add ginger paste and slit green chilies, and fry till the mix turns golden in color.Add the tomato puree along with turmeric powder, coriander powder, cumin powder, Kashmiri red chili powder and garam masala powder. Fry till cooked well and deeper in color.Now add poppy seeds paste and cashew paste and stir well. Sauté for another 3-4 minute.Now add around 1/2 cup of hot water or as per required consistency.Add salt and stir well. Let the curry get a boil. Simmer the flame and cook for 2-3 minutes with lid closed.Once the curry is done, mix-in some nutmeg powder and fresh coriander.Slide the fish fillets carefully into the gravy and turn off flame.Serve Bengali Bhetki Begum Bahar Recipe hot with Steamed rice and Chapatis.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/BHETKI_BEGUM_BAHAR.jpg
Banana Cream Pie Recipe,"Banana Cream Pie is a decadent, rich dessert in which, flaky shortcrust pastry is filled with vanilla pastry cream and sliced Bananas and is topped with whipped cream. This recipe uses the pie crust and pastry cream both made from scratch and hence looks a little long winded. The pastry cream is made using egg yolks. For an eggless variation, you can use the store-bought vanilla custard powder and cook to a thick custard, according to package instructions. Use ripe firm Bananas, don’t use overripe bananas. Pastry cream and whipped cream can be made in advance, so this dessert is easy to put together just a few hours before you need to serve it.",Continental,Dessert,Eggetarian,"Ripe Bananas, Cocoa Powder, All Purpose Flour (Maida), Butter (Salted), Icing Sugar, Chilled water, Milk, Egg yolks, All Purpose Flour (Maida), Corn flour, Caster Sugar, Salt, Vanilla Extract, Heavy whipping cream, Icing Sugar, Vanilla Extract","2 Ripe Bananas , big ones and sliced  1 pinch Cocoa Powder , to garnish (optional) For the crust 2 cups All Purpose Flour (Maida)  140 grams Butter (Salted) , chilled and cut into cubes  2 tablespoon Icing Sugar  3 tablespoon Chilled water For the Vanilla pastry cream 1 1/2 cups Milk  5 Egg yolks  4 tablespoon All Purpose Flour (Maida)  1 tablespoon Corn flour  1/4 cup Caster Sugar  1 pinch Salt  1 teaspoon Vanilla Extract For the whipped Cream: 1 cup Heavy whipping cream , (or non-dairy cream)  3 tablespoon Icing Sugar  1/2 teaspoon Vanilla Extract",300.0,15.0,"To begin making the Banana Cream Pie, first make the pie crust. Pre-heat the oven to 190 degrees Celsius.Add Maida, butter and icing sugar in a mixing bowl or the bowl of a food processor. Rub with your finger tips till the mixture resembles bread crumbs (or pulse 2-3 times, if using the food processor). Add cold water as required, until the dough just comes together. (Do not handle the dough too much, work quickly)Make a disk and wrap the dough in plastic film. Keep refrigerated for 45 minutes or an hour.Grease a 7-inch loose bottom, fluted tart pan.Dust the work surface with a little flour and roll out the dough into a circle slightly bigger than the pan.Carefully pick up the rolled out dough and place on the pan.Press the bottom and the sides evenly. Scrape off the excess dough that comes out over the edge.Prick the bottom with a fork and refrigerate the crust for 10 minutes.Cut a baking paper slightly bigger than the tart pan.Place it on the crust and fill with baking beans (or dried Red kidney beans/Chickpeas)Bake for 10-12 minutes. Remove the baking paper and beans and bake the pie crust for 6-7 minutes, till it is light brown. Cool on a wire rackInvert a glass and place it on a flat surface. Carefully place the pie pan over it. The fluted edge drops down.Keep the pie crust on a flat surface. Use a palette knife to take off the plate at the bottom, ensuring that the crust does not crack. (or you can just leave it as it is)For the Vanilla Pastry Cream, heat the milk in a saucepan.In a heat proof bowl add the egg yolks, sugar, flours, vanilla extract. Whisk.When you see a few bubbles around the edge of the pan (or when the milk is about to boil), pour half of the milk over the egg yolk mixture, whisking constantly till the mixture is homogeneous.Pour the mixture back into the saucepan and heat on low flame, whisking constantly till the custard thickens (about 2-3 minutes) Keep it covered to avoid the formation of skin on top of the custard.For the whipped cream, whip the cream, sugar, and vanilla extract to stiff peaks using a hand blender.If using non-diary cream skip the sugar.To assemble the Banana Cream pie. Place the banana slices on the pie crust, top them with the pastry cream, spread evenly.Spread the whipped cream over it (or you can pipe out a design)sprinkle the cocoa over the whipped cream, if using.Refrigerate for 3-4 hours, cut into wedges and serve.Your Banana Cream Pie is ready to eat.Banana Cream Pie can be served as a dessert for your special dinner.For an amazing dinner, you can serve Roasted Vegetable Pasta Primavera and for dessert serve Banana Cream Pie.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Banana_Cream_Pie.jpg
Bengali Doi Maach Recipe (Fish In Yogurt Curry),"A Bengali meal is always incomplete without a fish item. Either it's a fish fry or a curry like Macher Kalia, Macher Jhol, Bhapa Ilish or Paturi. Each dish has it's own charm & delicacy. So here I am with such a dish which is truly robust, a taste that lingers in your mouth. The recipe of ‘Doi Maach’ that I am going to share is very easy to follow. Just marinate the fish for 15 to 20 minutes and slow cook for 15 minutes. Voila, your dish is ready!",Bengali Recipes,Lunch,Non Vegeterian,"Rohu fish, Onion, Garlic, Ginger, Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Cumin seeds (Jeera), Kashmiri Red Chilli Powder, Turmeric powder (Haldi), Sultana Raisins, Curd (Dahi / Yogurt), Sugar, Mustard oil, Green Chillies, Salt","400 grams Rohu fish , sliced  1 Onion , sliced  6 cloves Garlic  1/2 inch Ginger  1 inch Cinnamon Stick (Dalchini)  2 Cardamom (Elaichi) Pods/Seeds  5 Cloves (Laung)  1 teaspoon Cumin seeds (Jeera)  1 tablespoons Kashmiri Red Chilli Powder  1 teaspoon Turmeric powder (Haldi)  2 tablespoons Sultana Raisins  1 cups Curd (Dahi / Yogurt)  1/2 teaspoon Sugar  3 tablespoons Mustard oil  2 Green Chillies , sliced Salt , to taste",10.0,30.0,"To begin making the Bengali Doi Maach recipe, heat 1 tablespoon oil in a heavy bottomed pan.Add garlic, ginger and onion and saute it for a minute. Let it cool down and then make a paste of this using a mixer grinder.Marinate fish with raisin, turmeric, red chilli powder, salt and 1 tablespoon oil for 15 to 30 minutes in a mixing bowl. Mix everything properly.Add 1 tablespoon oil to the same pan that is used for frying onion and heat it.Add cumin seeds and let it sputter. Add cinnamon, clove, green cardamom and saute for a few seconds.Reduce the flame to very slow. Add the marinated fish with curd to the pan. Cook for about 10 minute at medium flame.After 10 minutes, add green chillies, 1/2 teaspoon sugar and mix. Cook for another 4 to 5 minutes at slow flame.After 4 to 5 minutes, switch off the stove and it is ready to be served.Serve Bengali Doi Maach along with Chingiri Paturi and hot steamed rice for a perfect Bengali weekday lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sai_Priya/Doi_Maach_1600.jpg
